0 17.8495
1 32.6697
2 0.881414
3 0.123492
4 0.0286781
5 0.0310192
6 0.0357014
7 0.0368719
8 0.032775
9 0.0409688
10 0.0397982
11 0.0468215
12 0.0503331
13 0.0637942
14 0.0702322
15 0.0573563
16 0.0743291
17 0.0743291
18 0.0743291
19 0.0678911
20 0.0831081
21 0.0819376
22 0.0907166
23 0.0825228
24 0.0924724
25 0.0977398
26 0.095984
27 0.117054
28 0.107689
29 0.107104
30 0.113542
31 0.125833
32 0.125833
33 0.135197
34 0.150414
35 0.128759
36 0.146902
37 0.160364
38 0.170898
39 0.153926
40 0.167972
41 0.173239
42 0.182018
43 0.155096
44 0.182604
45 0.174995
46 0.190797
47 0.186115
48 0.183774
49 0.18436
