5.000000000000000000e-01 2.651929158292944339e+04
1.500000000000000000e+00 6.704754554996166553e+04
2.500000000000000000e+00 1.006907745933340775e+05
3.500000000000000000e+00 1.313367372661542613e+05
4.500000000000000000e+00 1.315104918383601762e+05
5.500000000000000000e+00 1.495592480262507161e+05
6.500000000000000000e+00 1.588985562823192449e+05
7.500000000000000000e+00 1.914340999278788804e+05
8.500000000000000000e+00 1.930413297207836877e+05
9.500000000000000000e+00 2.022068834046463016e+05
1.050000000000000000e+01 2.324618982900031551e+05
1.150000000000000000e+01 2.330266006496724149e+05
1.250000000000000000e+01 2.567440997557812661e+05
1.350000000000000000e+01 2.625431586031540646e+05
1.450000000000000000e+01 2.931239633113970049e+05
1.550000000000000000e+01 2.990967767309757182e+05
1.650000000000000000e+01 3.216631517962203361e+05
1.750000000000000000e+01 3.377788883683199529e+05
1.850000000000000000e+01 3.584991211038766196e+05
1.950000000000000000e+01 3.588031916052370216e+05
2.050000000000000000e+01 3.997875513243097812e+05
2.150000000000000000e+01 4.081494901117199333e+05
2.250000000000000000e+01 4.279140727001440828e+05
2.350000000000000000e+01 4.371230650270581245e+05
2.450000000000000000e+01 4.522179934874479077e+05
2.550000000000000000e+01 4.556279269669892383e+05
2.650000000000000000e+01 4.849055723836877150e+05
2.750000000000000000e+01 4.991968859476251528e+05
2.850000000000000000e+01 5.063425427295938716e+05
2.950000000000000000e+01 5.302989543724858668e+05
3.050000000000000000e+01 5.330138695632035378e+05
3.150000000000000000e+01 5.607711624731001211e+05
3.250000000000000000e+01 5.787764800179392332e+05
3.350000000000000000e+01 5.754317045029751025e+05
3.450000000000000000e+01 5.780163037645382574e+05
3.550000000000000000e+01 5.953048836990279378e+05
3.650000000000000000e+01 6.292304639222349506e+05
3.750000000000000000e+01 6.226060708568840055e+05
3.850000000000000000e+01 6.513190139139132807e+05
3.950000000000000000e+01 6.902834767310920870e+05
4.050000000000000000e+01 6.627868156795044197e+05
4.150000000000000000e+01 6.680863301317851292e+05
4.250000000000000000e+01 6.957133071125273127e+05
4.350000000000000000e+01 6.871776137529112166e+05
4.450000000000000000e+01 6.895667391207426554e+05
4.550000000000000000e+01 6.726691069737164071e+05
4.650000000000000000e+01 6.639379397203685949e+05
4.750000000000000000e+01 6.658709593361596344e+05
4.850000000000000000e+01 6.859613317474697251e+05
4.950000000000000000e+01 7.052480892623275286e+05
